EventID,EventName,Title,Time,Text,Url
Protests against the Iraq War,Protests against the Iraq War,Iraq War Protest - Seattle,2006-07-03 00:00:00,./E377_Protests against the Iraq War/E377_3.txt,https://www.youtube.com/watch?v=opXl7xjE4iM
Protests against the Iraq War,Protests against the Iraq War,SEATTLE IRAQ WAR PROTEST FEBRUARY 15 2003,2007-02-15 00:00:00,./E377_Protests against the Iraq War/E377_15.txt,https://www.youtube.com/watch?v=_sqr2dz7kPo
Protests against the Iraq War,Protests against the Iraq War,Iraq War Protest in SF,2007-03-19 00:00:00,./E377_Protests against the Iraq War/E377_17.txt,https://www.youtube.com/watch?v=8_eTjrkJE9w
Protests against the Iraq War,Protests against the Iraq War,Iraq War Protests,2008-03-16 00:00:00,./E377_Protests against the Iraq War/E377_4.txt,https://www.youtube.com/watch?v=kH6SXaMhyiU
Protests against the Iraq War,Protests against the Iraq War,Dozens Protest Iraq War,2008-03-19 00:00:00,./E377_Protests against the Iraq War/E377_16.txt,https://www.youtube.com/watch?v=x4q_04BDZos
Protests against the Iraq War,Protests against the Iraq War,Iraq War Protest,2008-03-25 00:00:00,./E377_Protests against the Iraq War/E377_11.txt,https://www.youtube.com/watch?v=dPXpqJhcpN8
Iowa flood of 2008,Iowa flood of 2008,"Decorah, Iowa Flood of 2008",2008-06-10 00:00:00,./E384_Iowa flood of 2008/E384_15.txt,https://www.youtube.com/watch?v=cW4AH6arI3A
Iowa flood of 2008,Iowa flood of 2008,"Decorah, Iowa Flood of 2008",2008-06-10 00:00:00,./E384_Iowa flood of 2008/E384_16.txt,https://www.youtube.com/watch?v=ZgUzqXOq4Jc
Iowa flood of 2008,Iowa flood of 2008,"Historic Flooding in Cedar Rapids, Iowa",2008-06-12 00:00:00,./E384_Iowa flood of 2008/E384_3.txt,https://www.youtube.com/watch?v=Cxq8BbtOxSo
Iowa flood of 2008,Iowa flood of 2008,iowa floods of 2008,2008-06-13 00:00:00,./E384_Iowa flood of 2008/E384_19.txt,https://www.youtube.com/watch?v=NKTLmq1t4MQ
Iowa flood of 2008,Iowa flood of 2008,"CEDAR RAPIDS, IOWA - FLOOD OF 2008",2008-06-14 00:00:00,./E384_Iowa flood of 2008/E384_5.txt,https://www.youtube.com/watch?v=a4nHpqkd34M
Iowa flood of 2008,Iowa flood of 2008,"Flood of 2008 Cedar Rapids IA june 12 ,2008",2008-06-14 00:00:00,./E384_Iowa flood of 2008/E384_11.txt,https://www.youtube.com/watch?v=acf60L4zxng
Iowa flood of 2008,Iowa flood of 2008,"Flood Of 2008 Cedar Rapids, Iowa",2008-06-14 00:00:00,./E384_Iowa flood of 2008/E384_14.txt,https://www.youtube.com/watch?v=PVQxhTAQ-rw
Iowa flood of 2008,Iowa flood of 2008,Aerial footage of the Des Moines floods of 2008,2008-06-15 00:00:00,./E384_Iowa flood of 2008/E384_4.txt,https://www.youtube.com/watch?v=Uv5DcwJXFaE
Iowa flood of 2008,Iowa flood of 2008,pics of the iowa flood of 2008,2008-06-15 00:00:00,./E384_Iowa flood of 2008/E384_12.txt,https://www.youtube.com/watch?v=8JzFcpLl2uI
Iowa flood of 2008,Iowa flood of 2008,"Flood of 2008 (Cedar Rapids, Iowa)",2008-06-16 00:00:00,./E384_Iowa flood of 2008/E384_13.txt,https://www.youtube.com/watch?v=3TD394TRXZM
Iowa flood of 2008,Iowa flood of 2008,"Cambridge Iowa Flood June 6, 2008",2008-06-17 00:00:00,./E384_Iowa flood of 2008/E384_9.txt,https://www.youtube.com/watch?v=-p6cNWQVN4U
Iowa flood of 2008,Iowa flood of 2008,Iowa City Flooding,2008-06-18 00:00:00,./E384_Iowa flood of 2008/E384_17.txt,https://www.youtube.com/watch?v=3a3qjr99M80
Iowa flood of 2008,Iowa flood of 2008,Iowa Flood 2008,2008-06-18 00:00:00,./E384_Iowa flood of 2008/E384_20.txt,https://www.youtube.com/watch?v=hjwcBAjOIGU
Iowa flood of 2008,Iowa flood of 2008,Iowa Flood of 2008,2008-06-23 00:00:00,./E384_Iowa flood of 2008/E384_6.txt,https://www.youtube.com/watch?v=Z_DPqSo3nvE
Iowa flood of 2008,Iowa flood of 2008,Flood of 2008 - Cedar Rapids Iowa,2008-07-07 00:00:00,./E384_Iowa flood of 2008/E384_1.txt,https://www.youtube.com/watch?v=lPGQmvN6iAQ
Iowa flood of 2008,Iowa flood of 2008,Iowa Flood of 2008,2008-08-05 00:00:00,./E384_Iowa flood of 2008/E384_10.txt,https://www.youtube.com/watch?v=Cvet8BlLw7o
Taliban insurgency,Taliban insurgency,Insurgents Launch Brazen Attacks in Afghanistan,2008-08-19 00:00:00,./E101_Taliban insurgency/E101_19.txt,https://www.youtube.com/watch?v=pDtytVCMagI
Protests against the Iraq War,Protests against the Iraq War,Thousands protest against US war in Iraq - 25 Aug 2008,2008-08-25 00:00:00,./E377_Protests against the Iraq War/E377_2.txt,https://www.youtube.com/watch?v=QK0En2OnhSc
Iowa flood of 2008,Iowa flood of 2008,(TV Spot) Iowa Magazine: Flood of 2008,2008-09-10 00:00:00,./E384_Iowa flood of 2008/E384_8.txt,https://www.youtube.com/watch?v=QOuo2prMOHU
Iowa flood of 2008,Iowa flood of 2008,The Great Cedar Rapids Flood Of 2008,2008-12-14 00:00:00,./E384_Iowa flood of 2008/E384_18.txt,https://www.youtube.com/watch?v=OhpRjA35ejw
Mexican Drug War,Mexican Drug War,"US feels impact of Mexico drug war ""spillover"" 31 Mar 09",2009-03-31 00:00:00,./E367_Mexican Drug War/E367_7.txt,https://www.youtube.com/watch?v=_URqb_fiyf0
2009 flu pandemic,2009 flu pandemic,Swine Flu Outbreak Concerns,2009-04-24 00:00:00,./E378_2009 flu pandemic/E378_17.txt,https://www.youtube.com/watch?v=zOdH2J5eG30
2009 flu pandemic,2009 flu pandemic,Containing Swine Flu In Mexico,2009-04-26 00:00:00,./E378_2009 flu pandemic/E378_11.txt,https://www.youtube.com/watch?v=SR5oOvHfH4s
2009 flu pandemic,2009 flu pandemic,First Cases Of Swine Flu Confirmed In The UK,2009-04-27 00:00:00,./E378_2009 flu pandemic/E378_5.txt,https://www.youtube.com/watch?v=-CGuduXqDOs
2009 flu pandemic,2009 flu pandemic,Symptoms of H1N1 (Swine Flu),2009-04-28 00:00:00,./E378_2009 flu pandemic/E378_16.txt,https://www.youtube.com/watch?v=0wK1127fHQ4
2009 flu pandemic,2009 flu pandemic,CDC H1N1 (Swine Flu) Response Actions and Goals,2009-04-30 00:00:00,./E378_2009 flu pandemic/E378_9.txt,https://www.youtube.com/watch?v=4xfiPRxcXp4
2009 flu pandemic,2009 flu pandemic,H1N1 Virus (2009): What is a Flu Pandemic? Learn The Facts,2009-04-30 00:00:00,./E378_2009 flu pandemic/E378_18.txt,https://www.youtube.com/watch?v=JCSngcp4D84
2009 flu pandemic,2009 flu pandemic,Swine Flu: How Bad Is It?,2009-05-01 00:00:00,./E378_2009 flu pandemic/E378_2.txt,https://www.youtube.com/watch?v=4crIcBIU78I
2009 flu pandemic,2009 flu pandemic,H1N1: Preparing For The Worst,2009-05-01 00:00:00,./E378_2009 flu pandemic/E378_4.txt,https://www.youtube.com/watch?v=Ir2V5X3wYEc
2009 flu pandemic,2009 flu pandemic,WHO declares H1N1 official flu pandemic - 11 Jun 09,2009-06-11 00:00:00,./E378_2009 flu pandemic/E378_1.txt,https://www.youtube.com/watch?v=dG3DTL2tXn8
2009 flu pandemic,2009 flu pandemic,Swine Flu Declared a 'Pandemic',2009-06-11 00:00:00,./E378_2009 flu pandemic/E378_13.txt,https://www.youtube.com/watch?v=q2QlDMM3J3Q
2009 flu pandemic,2009 flu pandemic,Australia Swine Flu - Bloomberg,2009-06-12 00:00:00,./E378_2009 flu pandemic/E378_14.txt,https://www.youtube.com/watch?v=tRma-5CMHiU
2009 flu pandemic,2009 flu pandemic,Swine Flu Now at Global Pandemic Level,2009-06-12 00:00:00,./E378_2009 flu pandemic/E378_15.txt,https://www.youtube.com/watch?v=_H7XlWPKNvQ
Taliban insurgency,Taliban insurgency,Raw Video: Military Attacks Afghan Insurgents,2009-06-24 00:00:00,./E101_Taliban insurgency/E101_4.txt,https://www.youtube.com/watch?v=4wJglSZhBno
2009 flu pandemic,2009 flu pandemic,How serious is swine flu in India?,2009-08-05 00:00:00,./E378_2009 flu pandemic/E378_12.txt,https://www.youtube.com/watch?v=lssNLKq3McY
Protests against the Iraq War,Protests against the Iraq War,"""Day-X"" Global Anti-War Protests (2003)",2009-08-11 00:00:00,./E377_Protests against the Iraq War/E377_12.txt,https://www.youtube.com/watch?v=-7wy5C-LxLw
Taliban insurgency,Taliban insurgency,U.S. Attacks Afghan Taliban,2009-08-12 00:00:00,./E101_Taliban insurgency/E101_13.txt,https://www.youtube.com/watch?v=DR-m7zjnM_8
Mexican Drug War,Mexican Drug War,THE MEXICAN DRUG WAR PART 2 OF 2,2009-08-14 00:00:00,./E367_Mexican Drug War/E367_19.txt,https://www.youtube.com/watch?v=7SoDnPMXcN4
Protests against the Iraq War,Protests against the Iraq War,Protest Warrior surrounded by the Left at Iraq War protest in New York City,2009-09-13 00:00:00,./E377_Protests against the Iraq War/E377_14.txt,https://www.youtube.com/watch?v=OacolaQf_qU
2009 flu pandemic,2009 flu pandemic,The H1N1 Swine Flu: A Look Inside,2009-10-16 00:00:00,./E378_2009 flu pandemic/E378_20.txt,https://www.youtube.com/watch?v=lFl3FRNpU4E
2009 flu pandemic,2009 flu pandemic,U.S. H1N1 Death Toll,2009-11-12 00:00:00,./E378_2009 flu pandemic/E378_10.txt,https://www.youtube.com/watch?v=twoo-WqlT8w
2010 Haiti earthquake,2010 Haiti earthquake,Haiti Earthquake: Thousands Feared Dead,2010-01-13 00:00:00,./E382_2010 Haiti earthquake/E382_5.txt,https://www.youtube.com/watch?v=faErDWCk8YE
2010 Haiti earthquake,2010 Haiti earthquake,Haiti rocked by earthquake,2010-01-13 00:00:00,./E382_2010 Haiti earthquake/E382_6.txt,https://www.youtube.com/watch?v=eekRFrQwRjQ
2010 Haiti earthquake,2010 Haiti earthquake,Haiti Earthquake,2010-01-13 00:00:00,./E382_2010 Haiti earthquake/E382_12.txt,https://www.youtube.com/watch?v=3rX3l4aO5SM
2010 Haiti earthquake,2010 Haiti earthquake,Haitian Earthquake Overflight,2010-01-13 00:00:00,./E382_2010 Haiti earthquake/E382_14.txt,https://www.youtube.com/watch?v=ey3XHXPkBU4
2010 Haiti earthquake,2010 Haiti earthquake,Haiti Earthquake Caught on Tape,2010-01-14 00:00:00,./E382_2010 Haiti earthquake/E382_2.txt,https://www.youtube.com/watch?v=CcFVxl8oclY
Protests against the Iraq War,Protests against the Iraq War,Iraq War Protest,2010-01-18 00:00:00,./E377_Protests against the Iraq War/E377_13.txt,https://www.youtube.com/watch?v=ICqYaTLRZf4
2010 Haiti earthquake,2010 Haiti earthquake,Moments after Haiti Quake,2010-01-18 00:00:00,./E382_2010 Haiti earthquake/E382_9.txt,https://www.youtube.com/watch?v=KzcHWuPjyiI
2010 Haiti earthquake,2010 Haiti earthquake,Haiti earthquake - Live Cam in Palmera Market (12/01/2010),2010-01-30 00:00:00,./E382_2010 Haiti earthquake/E382_8.txt,https://www.youtube.com/watch?v=OMsb_lLGup4
Taliban insurgency,Taliban insurgency,U.S. Commander Says Taliban Insurgents Mostly Cleared from Marjah,2010-03-05 00:00:00,./E101_Taliban insurgency/E101_5.txt,https://www.youtube.com/watch?v=TcGsF2dvQf0
Insurgency in the North Caucasus,Insurgency in the North Caucasus,"Interview: Shamsuddin Botokayov, Caucasus Emirate representative",2010-04-01 00:00:00,./E85_Insurgency in the North Caucasus/E85_10.txt,https://www.youtube.com/watch?v=S3jGKxGH2_E
Expo 2010,Expo 2010,Towards a living artificial kidney  World Expo 2010 Shanghai Edition,2010-04-27 00:00:00,./E19_Expo 2010/E19_14.txt,https://www.youtube.com/watch?v=ZWHC5OOetiA
Expo 2010,Expo 2010,Shanghai's $50 Billion World Expo,2010-05-01 00:00:00,./E19_Expo 2010/E19_4.txt,https://www.youtube.com/watch?v=di5U7JeIOYQ
Expo 2010,Expo 2010,Shanghai Expo 2010 in China,2010-05-03 00:00:00,./E19_Expo 2010/E19_16.txt,https://www.youtube.com/watch?v=k2D778SQjCc
Mexican Drug War,Mexican Drug War,The Fight For Juarez: When Will the Killing End?,2010-05-21 00:00:00,./E367_Mexican Drug War/E367_10.txt,https://www.youtube.com/watch?v=51K-L1zYzsE
Expo 2010,Expo 2010,EXPO 2010 Shanghai Russia Pavillion.mov,2010-06-03 00:00:00,./E19_Expo 2010/E19_10.txt,https://www.youtube.com/watch?v=Di4lbgu_m9w
Expo 2010,Expo 2010,EXPO 2010 Shanghai Americas & Asia.mov,2010-06-03 00:00:00,./E19_Expo 2010/E19_19.txt,https://www.youtube.com/watch?v=WW_kP4CpX_c
Expo 2010,Expo 2010,Expo 2010 Shanghai China - USA Pavilion,2010-06-04 00:00:00,./E19_Expo 2010/E19_20.txt,https://www.youtube.com/watch?v=Hv-GwpWQu4Y
Expo 2010,Expo 2010,EXPO 2010 Shanghai Corporate-Puxi.mov,2010-06-05 00:00:00,./E19_Expo 2010/E19_15.txt,https://www.youtube.com/watch?v=hopCE1OcmHA
