EventID,EventName,Title,Time,Text,Url
E101,Taliban insurgency,Insurgents Launch Brazen Attacks in Afghanistan,2008-08-19 00:00:00,./E101_Taliban insurgency/E101_19.txt,https://www.youtube.com/watch?v=pDtytVCMagI
E367,Mexican Drug War,"US feels impact of Mexico drug war ""spillover"" 31 Mar 09",2009-03-31 00:00:00,./E367_Mexican Drug War/E367_7.txt,https://www.youtube.com/watch?v=_URqb_fiyf0
E101,Taliban insurgency,Raw Video: Military Attacks Afghan Insurgents,2009-06-24 00:00:00,./E101_Taliban insurgency/E101_4.txt,https://www.youtube.com/watch?v=4wJglSZhBno
E101,Taliban insurgency,U.S. Attacks Afghan Taliban,2009-08-12 00:00:00,./E101_Taliban insurgency/E101_13.txt,https://www.youtube.com/watch?v=DR-m7zjnM_8
E367,Mexican Drug War,THE MEXICAN DRUG WAR PART 2 OF 2,2009-08-14 00:00:00,./E367_Mexican Drug War/E367_19.txt,https://www.youtube.com/watch?v=7SoDnPMXcN4
E101,Taliban insurgency,U.S. Commander Says Taliban Insurgents Mostly Cleared from Marjah,2010-03-05 00:00:00,./E101_Taliban insurgency/E101_5.txt,https://www.youtube.com/watch?v=TcGsF2dvQf0
E367,Mexican Drug War,The Fight For Juarez: When Will the Killing End?,2010-05-21 00:00:00,./E367_Mexican Drug War/E367_10.txt,https://www.youtube.com/watch?v=51K-L1zYzsE
E367,Mexican Drug War,Mexico drug gangs in deadly clash,2010-07-02 00:00:00,./E367_Mexican Drug War/E367_4.txt,https://www.youtube.com/watch?v=mgF-dqAmvm0
E55,Anti-austerity movement in the United Kingdom,Anti-austerity Protests Sweep Across Europe,2010-09-29 00:00:00,./E55_Anti-austerity movement in the United Kingdom/E55_19.txt,https://www.youtube.com/watch?v=VEvE_NnoO9g
E367,Mexican Drug War,Mexico Drug War in Juarez,2010-11-22 00:00:00,./E367_Mexican Drug War/E367_16.txt,https://www.youtube.com/watch?v=qrYxqH8c0jI
E423,Mexican Indignados Movement,SPANISH REBEL MOVEMENT. AGAINST CORRUPT POLITICIANS AND BANKERS. CARTOON FROM MEXICO.,2011-05-20 00:00:00,./E423_Mexican Indignados Movement/E423_7.txt,https://www.youtube.com/watch?v=r5AUQbuwctI
E423,Mexican Indignados Movement,15M - Spanish Revolution Plaza Catalunya PHOTOS BY IGOR GONZALO,2011-06-25 00:00:00,./E423_Mexican Indignados Movement/E423_16.txt,https://www.youtube.com/watch?v=jJe_PQBXCZ0
E55,Anti-austerity movement in the United Kingdom,Massive anti-austerity protests in UK,2011-06-30 00:00:00,./E55_Anti-austerity movement in the United Kingdom/E55_1.txt,https://www.youtube.com/watch?v=iYbZbhRsKrg
E55,Anti-austerity movement in the United Kingdom,UK: Massive anti-austerity action planned,2011-06-30 00:00:00,./E55_Anti-austerity movement in the United Kingdom/E55_5.txt,https://www.youtube.com/watch?v=5GMYVnHqsSg
E101,Taliban insurgency,Taliban attack bombards U.S. Afghan embassy,2011-09-13 00:00:00,./E101_Taliban insurgency/E101_18.txt,https://www.youtube.com/watch?v=fFLzoA9YcPM
E423,Mexican Indignados Movement,Occupy Mexico - Mexico toma la calle,2011-10-16 00:00:00,./E423_Mexican Indignados Movement/E423_9.txt,https://www.youtube.com/watch?v=Z_7YMBmpTRs
E423,Mexican Indignados Movement,Acampan 'indignados' frente a BMV,2011-10-17 00:00:00,./E423_Mexican Indignados Movement/E423_17.txt,https://www.youtube.com/watch?v=Gy8quMpuPK0
E423,Mexican Indignados Movement,Protestan en México jóvenes 'indignados' frente a la BMV,2011-10-24 00:00:00,./E423_Mexican Indignados Movement/E423_6.txt,https://www.youtube.com/watch?v=ZNsrIT-dvL8
E423,Mexican Indignados Movement,Indignados en Oakland convocan a huelga general,2011-11-02 00:00:00,./E423_Mexican Indignados Movement/E423_13.txt,https://www.youtube.com/watch?v=p2flrtEmgQ0
E423,Mexican Indignados Movement,Para los y las Indignados de Cd. Juárez desde Tijuana.,2011-11-07 00:00:00,./E423_Mexican Indignados Movement/E423_19.txt,https://www.youtube.com/watch?v=ZxNLQpQ_Hl0
E423,Mexican Indignados Movement,indignados queretaro occupy,2011-11-13 00:00:00,./E423_Mexican Indignados Movement/E423_8.txt,https://www.youtube.com/watch?v=7_U9rzJsUaY
E58,Northern Mali conflict,Chaos reign in Mali,2012-04-05 00:00:00,./E58_Northern Mali conflict/E58_16.txt,https://www.youtube.com/watch?v=UZyf5pOcCik
E367,Mexican Drug War,Mexican Drug War in 89 Seconds.wmv,2012-05-01 00:00:00,./E367_Mexican Drug War/E367_9.txt,https://www.youtube.com/watch?v=At7v9byMdGw
E423,Mexican Indignados Movement,"Spain: The indignants, one year on",2012-05-08 00:00:00,./E423_Mexican Indignados Movement/E423_3.txt,https://www.youtube.com/watch?v=NjT7wsq04Cs
E367,Mexican Drug War,Mexican police-cartel deadly kidnapping - caught on tape,2012-06-14 00:00:00,./E367_Mexican Drug War/E367_15.txt,https://www.youtube.com/watch?v=37UXUgydfs4
E423,Mexican Indignados Movement,YoSoy132 supporters chant at rally in Mexico City,2012-07-03 00:00:00,./E423_Mexican Indignados Movement/E423_5.txt,https://www.youtube.com/watch?v=wZaspcs0eck
E58,Northern Mali conflict,Possible war crimes in Mali,2012-09-17 00:00:00,./E58_Northern Mali conflict/E58_15.txt,https://www.youtube.com/watch?v=GaJckxhNwHU
E55,Anti-austerity movement in the United Kingdom,London: Thousands take part in anti-austerity protest,2012-10-20 00:00:00,./E55_Anti-austerity movement in the United Kingdom/E55_10.txt,https://www.youtube.com/watch?v=8dII-fs4ono
E55,Anti-austerity movement in the United Kingdom,'No Cuts!' Video of UK police clashing with anti-austerity protesters,2012-10-20 00:00:00,./E55_Anti-austerity movement in the United Kingdom/E55_14.txt,https://www.youtube.com/watch?v=Hml4_zppOrM
E58,Northern Mali conflict,Conflict in Northern Mali Keeps Children Out of School,2012-11-16 00:00:00,./E58_Northern Mali conflict/E58_7.txt,https://www.youtube.com/watch?v=ve-CG60-Z3s
